year,state,month,date,number
2017,Alagoas,Março,01/01/2017,23
1998,Alagoas,Abril,01/01/1998,0
1999,Alagoas,Abril,01/01/1999,4
2000,Alagoas,Abril,01/01/2000,20
2001,Alagoas,Abril,01/01/2001,0
2002,Alagoas,Abril,01/01/2002,6
2003,Alagoas,Abril,01/01/2003,20
2004,Alagoas,Abril,01/01/2004,6
2005,Alagoas,Abril,01/01/2005,1
2006,Alagoas,Abril,01/01/2006,2
2007,Alagoas,Abril,01/01/2007,1
2008,Alagoas,Abril,01/01/2008,18
2009,Alagoas,Abril,01/01/2009,5
2010,Alagoas,Abril,01/01/2010,3
2011,Alagoas,Abril,01/01/2011,17
2012,Alagoas,Abril,01/01/2012,18
2013,Alagoas,Abril,01/01/2013,25
2014,Alagoas,Abril,01/01/2014,16
2015,Alagoas,Abril,01/01/2015,63
2016,Alagoas,Abril,01/01/2016,13
2017,Alagoas,Abril,01/01/2017,7
1998,Alagoas,Maio,01/01/1998,0
1999,Alagoas,Maio,01/01/1999,1
2000,Alagoas,Maio,01/01/2000,1
2001,Alagoas,Maio,01/01/2001,2
2002,Alagoas,Maio,01/01/2002,1
2003,Alagoas,Maio,01/01/2003,1
2004,Alagoas,Maio,01/01/2004,3
2005,Alagoas,Maio,01/01/2005,0
2006,Alagoas,Maio,01/01/2006,0
2007,Alagoas,Maio,01/01/2007,0
2008,Alagoas,Maio,01/01/2008,0
2009,Alagoas,Maio,01/01/2009,0
2010,Alagoas,Maio,01/01/2010,0
2011,Alagoas,Maio,01/01/2011,0
2012,Alagoas,Maio,01/01/2012,21
2013,Alagoas,Maio,01/01/2013,2
2014,Alagoas,Maio,01/01/2014,1
2015,Alagoas,Maio,01/01/2015,18
2016,Alagoas,Maio,01/01/2016,4
2017,Alagoas,Maio,01/01/2017,1
1998,Alagoas,Junho,01/01/1998,0
1999,Alagoas,Junho,01/01/1999,0
2000,Alagoas,Junho,01/01/2000,0
2001,Alagoas,Junho,01/01/2001,2
2002,Alagoas,Junho,01/01/2002,0
2003,Alagoas,Junho,01/01/2003,0
2004,Alagoas,Junho,01/01/2004,0
2005,Alagoas,Junho,01/01/2005,0
2006,Alagoas,Junho,01/01/2006,0
2007,Alagoas,Junho,01/01/2007,0
2008,Alagoas,Junho,01/01/2008,0
2009,Alagoas,Junho,01/01/2009,0
